	Schneider et al. (Huh7.5, 37°C)	Wei et al. (Vero E6, average z-score)				This study (A549 ACE2)	This study (Calu-3)	Daniloski et al. ( A549 ACE2)	Wang et al. (Vero E6)	
gene_name	z-score	z-score	average		gene_name	log2fc	log2fc	log2fc	log2fc	average
ACE2	2.767968813	4.573115253	3.670542033		ACE2	4.950521935	5.339307636	2.7244	2.6485	3.915682393
BCOR	1.724353287	1.595139886	1.659746586		ALPP	0.881013634	2.658345776	0.88951	0.36271	1.197894852
SERTAD4	1.341269809	1.497183494	1.419226651		MID1	0.780570808	3.081286052	0.57889	0.27381	1.178639215
MTMR3	1.751713091	0.981186366	1.366449729		CD247	1.20184535	2.311479574	0.26597	0.3658	1.036273731
GPR143	1.476780242	0.848492163	1.162636203		TIMM17B	1.067998604	1.99920854	0.22557	0.601	0.973444286
ITGB8	0.949319105	1.329177895	1.1392485		RLN2	1.876145866	0.761827854	0.25175	0.52734	0.85426593
DGKD	0.543542211	1.510752433	1.027147322		C1GALT1C1	1.095587536	1.164522629	0.39503	0.75044	0.851395041
SPOCK3	1.10816489	0.72634168	0.917253285		ITGB8	0.797908985	1.94918908	0.41806	0.20084	0.841499516
ZNF449	0.90884055	0.792138354	0.850489452		GPR143	1.385117904	0.953269291	0.32637	0.41362	0.769594299
RLN2	1.015050242	0.653138262	0.834094252		DGKD	0.580033941	1.097378762	0.69782	0.63958	0.753703176
ALPP	1.250955414	0.327433886	0.78919465		CYSLTR2	1.555811847	0.275636907	0.50876	0.56713	0.726834689
C1GALT1C1	0.902059789	0.615767235	0.758913512		SERTAD4	1.897343885	0.272266054	0.23517	0.4721	0.719219985
SV2B	0.750595636	0.676590136	0.713592886		SPOCK3	0.712215627	0.339568089	0.92558	0.80353	0.695223429
CD247	0.634076588	0.788181287	0.711128938		RAB9A	1.280170351	1.012806339	0.20003	0.23033	0.680834173
MID1	0.821606048	0.552662456	0.687134252		MUC1	1.308114114	0.549833579	0.28864	0.48545	0.658009423
TIMM17B	0.604617984	0.746067356	0.67534267		HBE1	1.119399609	0.205985464	0.73603	0.53518	0.649148768
NUDT3	0.823342321	0.498827366	0.661084844		DCN	0.774553677	0.939625335	0.37769	0.48263	0.643624753
DPP6	0.780643974	0.44741432	0.614029147		SV2B	0.929217457	0.732816266	0.37779	0.51685	0.639168431
RAB9A	0.892649034	0.319762558	0.606205796		DPP6	1.246797453	0.683308641	0.30987	0.26317	0.625786523
CYSLTR2	0.614994263	0.57019757	0.592595916		MTMR3	1.057427241	0.522314331	0.29507	0.53646	0.602817893
DCN	0.631583179	0.551386207	0.591484693		ZNF449	0.418639042	0.544466954	0.54704	0.75278	0.565731499
HBE1	0.33214656	0.779346888	0.555746724		BCOR	0.375530409	0.246604516	0.32521	1.1166	0.515986231
MUC1	0.404253551	0.492881157	0.448567354		LDLRAP1	0.490669301	0.310663634	0.51289	0.49512	0.452335734
LDLRAP1	0.311246552	0.422073872	0.366660212		NUDT3	0.455360808	0.399108917	0.24131	0.68167	0.444362431
