common hits with log2fc >0.2 in all screens				
gene_name	log2fc (This study [A549 ACE2])	log2fc (This study [Calu-3])	log2fc (Daniloski et al. [A549 ACE2])	log2fc (Wang et al. [Vero E6])
ACE2	4.950521935	5.339307636	2.7244	2.6485
WDR81	3.547110404	0.830926292	1.6572	0.74037
FER	1.333838314	2.538198735	0.82448	1.637
MAN1A2	4.98372937	0.20785733	0.59379	0.29767
SPAG6	2.155696962	2.186268573	0.55607	0.41247
PDE2A	2.571514538	2.180237176	0.21996	0.33285
SQSTM1	1.061357812	3.309256749	0.33252	0.45389
TTC3	1.318048526	2.456869901	0.2988	0.97015
NIPSNAP3A	0.867341221	2.679478771	0.88504	0.47269
THBD	0.798809754	1.821100059	1.1696	1.0675
CASK	1.858843082	2.047768484	0.31245	0.63167
MAGEL2	1.537548812	2.346941441	0.31465	0.6185
ALPP	0.881013634	2.658345776	0.88951	0.36271
METTL20	3.024068662	0.827737203	0.57544	0.35035
FAM166A	1.664543483	1.687729383	0.64886	0.74977
SERPINB13	1.524797317	2.211411294	0.28394	0.71325
MID1	0.780570808	3.081286052	0.57889	0.27381
ONECUT2	2.475228298	1.150954213	0.61072	0.45842
N4BP2L2	1.499125111	2.044013391	0.41971	0.64896
TPD52L1	1.379279937	2.015197499	0.77371	0.41546
C1orf94	0.738735336	2.622909259	0.85081	0.36534
C9orf3	1.378937212	1.901730298	0.63328	0.58439
IFT80	2.575819561	0.70023919	0.58688	0.62044
MS4A4A	1.164661597	1.664403209	0.26955	1.3332
CYP4B1	1.029281995	2.649407717	0.20386	0.40384
NIPAL4	0.556603888	3.017363869	0.25482	0.44762
CSTB	2.18116673	0.88520511	0.24278	0.94439
ELK4	1.567030501	1.44725974	0.28101	0.94341
MRFAP1	1.75232998	1.293053085	0.61366	0.5522
USP26	0.791737431	2.402914809	0.38596	0.6271
POPDC3	1.281165807	1.601568435	0.90679	0.37505
TNNT3	1.966278786	1.040217452	0.77855	0.37349
GLUD2	0.377169149	2.038902558	0.91039	0.82517
CD247	1.20184535	2.311479574	0.26597	0.3658
NOX4	2.009400089	0.64447051	0.85736	0.62016
CCDC83	2.355377571	0.703856934	0.69821	0.3318
C4orf32	2.306062638	0.741090158	0.39589	0.63387
CNGA2	1.0512376	2.097945733	0.43656	0.37807
RGS11	1.891692088	0.928420761	0.23595	0.85357
THNSL1	2.510789899	0.560904984	0.26452	0.56628
SLC20A2	1.185575834	1.822161708	0.36669	0.52684
ITGAM	2.983347471	0.265284533	0.26592	0.38552
C10orf118	2.763677849	0.234808543	0.64548	0.25377
TIMM17B	1.067998604	1.99920854	0.22557	0.601
TRAK1	1.279539324	1.558845678	0.78935	0.22603
C1orf115	1.261411171	0.224002886	1.1039	1.2367
HR	1.142447666	1.754707186	0.42545	0.48107
KRTAP19-2	1.488967291	1.196219424	0.58334	0.45919
ZNF587B	0.869809068	1.176323397	0.46615	1.2128
OR10Q1	1.576293376	0.506398881	1.0888	0.52713
ABHD1	2.611475299	0.250607664	0.50281	0.30264
DARC	2.266461116	0.546431272	0.20717	0.60038
HSD17B4	1.08128578	1.1294103	0.61525	0.71066
PML	1.858440525	0.604754891	0.66304	0.38197
CNTN4	1.389978374	1.310387922	0.26514	0.54231
SCYL2	0.895715836	1.895035507	0.27132	0.42904
LNPEP	0.952451087	1.199524293	1.0602	0.23367
