Gene	z-score (Schneider et al. [Huh7.5])	z-score (Wei et al. [Vero E6])	Rank
ACE2	2.767968813	4.573115253	3.670542033
CTSL	3.550804534	2.917051694	3.233928114
EP300	5.195652126	1.174487393	3.18506976
CSNK2B	4.965167671	1.080589284	3.022878477
TRIM28	4.071451551	1.358523823	2.714987687
MED23	4.179144553	1.146096228	2.662620391
RGP1	4.960786405	0.346393634	2.65359002
JMJD6	2.216088897	2.949460925	2.582774911
TAF6L	4.541848466	0.525984025	2.533916245
TOM1	4.342990265	0.723321094	2.533155679
DYRK1A	1.384641851	3.526586127	2.455613989
RAB6A	3.833314766	1.005613319	2.419464043
COG8	4.104535856	0.70514374	2.404839798
EXOC1	3.902431	0.586491774	2.244461387
SMARCA4	1.35673175	3.097835644	2.227283697
MED12	2.480179507	1.766490098	2.123334803
ZFX	2.852950181	1.28504437	2.068997275
SAR1A	2.679831367	1.361656691	2.020744029
DPF2	0.656988469	3.382715001	2.019851735
JTB	3.004648941	0.931328164	1.967988553
KCNJ4	3.469718868	0.408073469	1.938896169
CREBBP	2.257654125	1.563917261	1.910785693
APOL5	2.758016194	0.996958012	1.877487103
KDM6A	0.500940282	3.238339075	1.869639678
SIAH1	2.080972442	1.628799798	1.85488612
MED13	2.359479031	1.324264184	1.841871607
AHR	2.191784483	1.434748052	1.813266267
GPR89A	3.037363302	0.578255094	1.807809198
EIF4E2	2.862993277	0.75160747	1.807300373
SRRD	1.414254612	2.200280152	1.807267382
MSMO1	3.175730465	0.434638419	1.805184442
TAF5L	2.295248107	1.280584932	1.787916519
UBXN7	0.619739988	2.925474715	1.772607352
TAB1	2.789073602	0.749811124	1.769442363
SH3YL1	1.884802872	1.640783181	1.762793026
GDI2	3.119260462	0.335456176	1.727358319
SYN3	2.889392269	0.548253047	1.718822658
SUN2	2.499462705	0.934082226	1.716772466
PARP1	2.774033446	0.646819276	1.710426361
FZR1	2.343773608	1.0434677	1.693620654
RAB14	2.195225104	1.166481121	1.680853113
SCAF4	1.612155467	1.749392288	1.680773877
CCDC117	2.162143655	1.196081451	1.679112553
NRIP1	2.523297451	0.808697893	1.665997672
BCOR	1.724353287	1.595139886	1.659746586
QRICH1	2.846126868	0.469892586	1.658009727
NCF4	2.555884373	0.722586524	1.639235448
DRG1	1.465928697	1.788211545	1.627070121
CHADL	2.113614615	1.132105382	1.622859998
SLC33A1	2.024415768	1.220964359	1.622690063
LDLR	2.275087187	0.947198959	1.611143073
DGCR2	2.296397265	0.913396884	1.604897075
JAGN1	2.728618909	0.448114794	1.588366851
VPREB3	2.208142415	0.959287419	1.583714917
FBXL14	1.688056907	1.417086093	1.5525715
ATP6V0D2	1.826375217	1.267813573	1.547094395
SMAD4	1.303646627	1.778548947	1.541097787
TTC28	2.72070733	0.359242459	1.539974894
FLVCR1	2.189901095	0.874024078	1.531962586
CNKSR2	1.439733315	1.615797078	1.527765196
SLC16A8	2.054353027	0.99023348	1.522293254
UBN2	1.766100708	1.270870438	1.518485573
SLC39A9	2.535043342	0.482465037	1.50875419
ELF3	2.521970379	0.478821849	1.500396114
ATP13A3	2.131543831	0.86621339	1.49887861
CYTH4	2.001302236	0.987660695	1.494481465
TXNRD2	2.094274523	0.882961914	1.488618219
ING2	1.531595241	1.438312909	1.484954075
GRAP2	2.12231125	0.845938281	1.484124765
TSSK2	2.611031689	0.348234447	1.479633068
BRWD1	1.569874893	1.38863607	1.479255481
ZNRF3	2.201911988	0.751217364	1.476564676
VPS11	1.726689877	1.190442647	1.458566262
DHX29	1.090890782	1.810155621	1.450523202
RB1	1.387687524	1.501909315	1.444798419
CLTCL1	2.584708161	0.304514774	1.444611467
APOD	1.821083784	1.058786765	1.439935274
CRYBB3	2.311787143	0.547755821	1.429771482
SDF2L1	2.314434756	0.539869308	1.427152032
CNOT4	1.995380284	0.852879488	1.424129886
UHMK1	2.112404308	0.729784369	1.421094338
DEPDC5	1.876867858	0.964919311	1.420893584
MN1	2.297757296	0.542750245	1.420253771
SERTAD4	1.341269809	1.497183494	1.419226651
GPC3	1.95467771	0.882291733	1.418484721
YDJC	2.13989018	0.696179381	1.41803478
HMOX1	2.151168225	0.676471367	1.413819796
DPP9	1.203749055	1.594402277	1.399075666
HOXD1	2.318579327	0.47953156	1.399055444
TMED10	2.405591565	0.39111427	1.398352917
HAT1	0.784649606	2.005341346	1.394995476
AMER1	1.942688084	0.846224424	1.394456254
TENM4	1.71436277	1.07271067	1.39353672
FAM227A	2.293505933	0.483570872	1.388538403
GAB4	2.455499768	0.300541811	1.37802079
MTMR3	1.751713091	0.981186366	1.366449729
FAM71A	1.579553203	1.149396612	1.364474908
GP1BB	2.02786391	0.689529392	1.358696651
LDB1	1.053120616	1.662371806	1.357746211
SMPD3	1.758652483	0.956789347	1.357720915
PARVG	1.840383276	0.874667792	1.357525534
ADGRD1	1.059983785	1.652151438	1.356067611
GNB1	1.650805833	1.059065408	1.35493562
BAIAP2L2	1.838126474	0.86781016	1.352968317
ST6GAL1	1.697828544	1.000722177	1.34927536
GLYR1	1.124971609	1.572817283	1.348894446
TMX3	0.803509482	1.888497146	1.346003314
DNAJB7	1.363657282	1.311771422	1.337714352
NF2	1.260399364	1.408271672	1.334335518
SNX14	1.602865296	1.06491611	1.333890703
RFX6	1.973240582	0.688384922	1.330812752
VPS26A	2.257902478	0.399828384	1.328865431
SHISA4	1.815348494	0.838241844	1.326795169
CYBRD1	0.826705373	1.826149208	1.32642729
CYB5R3	2.299019448	0.351615237	1.325317342
GALR3	1.400140085	1.236102949	1.318121517
TBX22	1.329113916	1.302614748	1.315864332
RTN4R	1.750495914	0.87736483	1.313930372
SMARCB1	1.780713732	0.840954471	1.310834102
ETNK1	1.738256057	0.880102046	1.309179051
SH3TC1	1.332084632	1.280313557	1.306199094
ASGR2	1.097743659	1.503992002	1.300867831
