Geneid	gene_name	log2fc	p.value	fdr	significant
ENSG00000008018	PSMB1	-7.654481822878451	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000010292	NCAPD2	-7.578694865577736	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000013503	POLR3B	-6.76390109453472	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000041802	LSG1	-7.178663186446268	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000064703	DDX20	-7.379857092604705	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000065427	KARS	-6.6750276425331325	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000068784	SRBD1	-6.360930128980244	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000073969	NSF	-7.0696159763025	7.09653184113775e-9	1.2122784280500276e-6	significant
ENSG00000074696	PTPLAD1	-6.409426479407337	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000079134	THOC1	-7.678591740254915	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000080986	NDC80	-7.761198797209643	4.060606193425142e-9	1.2122784280500276e-6	significant
ENSG00000082068	WDR70	-7.951552326387638	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000082516	GEMIN5	-6.943052851595897	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000083520	DIS3	-7.609344440768962	3.24027213570746e-9	1.2122784280500276e-6	significant
ENSG00000086758	HUWE1	-6.6213146954129645	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000088038	CNOT3	-6.601823576531513	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000090273	NUDC	-6.326226823442732	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000090861	AARS	-7.470687325598244	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000091651	ORC6	-6.189889866835959	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000100023	PPIL2	-6.755946926662471	7.926785733846252e-9	1.2122784280500276e-6	significant
ENSG00000100028	SNRPD3	-6.150024025905763	6.3510937387086085e-9	1.2122784280500276e-6	significant
ENSG00000100142	POLR2F	-7.313190680953945	4.543341635212494e-9	1.2122784280500276e-6	significant
ENSG00000100632	ERH	-7.667104111257456	4.060606193425142e-9	1.2122784280500276e-6	significant
