Geneid	gene_name	log2fc	p.value	fdr	significant
ENSG00000030066	NUP160	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000044574	HSPA5	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000058729	RIOK2	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000075856	SART3	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000079246	XRCC5	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000085721	RRN3	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000100028	SNRPD3	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000101146	RAE1	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000108344	PSMD3	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000142937	RPS8	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000144744	UBA3	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000145386	CCNA2	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000149554	CHEK1	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000152464	RPP38	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000153187	HNRNPU	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000159147	DONSON	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000161016	RPL8	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000163682	RPL9	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000163882	POLR2H	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000164587	RPS14	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000166938	DIS3L	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000167088	SNRPD1	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000168028	RPSA	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000171311	EXOSC1	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000174748	RPL15	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000175166	PSMD2	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000177971	IMP3	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000179361	ARID3B	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000181163	NPM1	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000181222	POLR2A	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000183431	SF3A3	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000183684	ALYREF	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000187658	C5orf52	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000188846	RPL14	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000197498	RPF2	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000198034	RPS4X	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000227057	WDR46	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000240682	ISY1	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000265241	RBM8A	-2.705895641917617	9.840316311122622e-9	8.357361229010206e-6	significant
ENSG00000273976	NA	-2.6866415535687294	1.791694978885241e-8	8.357361229010206e-6	significant
ENSG00000047315	POLR2B	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000063322	MED29	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000080345	RIF1	-2.6753786338990584	2.9034978439434868e-8	9.265868033479334e-6	significant
ENSG00000083896	YTHDC1	-2.6753786338990584	2.9034978439434868e-8	9.265868033479334e-6	significant
ENSG00000084623	EIF3I	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000100380	ST13	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000100949	RABGGTA	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000105372	RPS19	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000107262	BAG1	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000111602	TIMELESS	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000125835	SNRPB	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000130520	LSM4	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000141543	EIF4A3	-2.6753786338990584	2.9034978439434868e-8	9.265868033479334e-6	significant
ENSG00000143742	SRP9	-2.6753786338990584	2.9034978439434868e-8	9.265868033479334e-6	significant
ENSG00000146216	TTBK1	-2.6753786338990584	2.9034978439434868e-8	9.265868033479334e-6	significant
ENSG00000153767	GTF2E1	-2.6753786338990584	2.9034978439434868e-8	9.265868033479334e-6	significant
ENSG00000161057	PSMC2	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000163468	CCT3	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000164109	MAD2L1	-2.6753786338990584	2.9034978439434868e-8	9.265868033479334e-6	significant
ENSG00000175334	BANF1	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000182774	RPS17L	-2.6753786338990584	2.9034978439434868e-8	9.265868033479334e-6	significant
ENSG00000185627	PSMD13	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000198952	SMG5	-2.6753786338990584	2.9034978439434868e-8	9.265868033479334e-6	significant
ENSG00000204392	LSM2	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000231500	RPS18	-2.667387465219842	3.228006336028281e-8	9.265868033479334e-6	significant
ENSG00000101343	CRNKL1	-2.6673874652198424	4.2051999304951384e-8	1.1371104391764969e-5	significant
ENSG00000142751	GPN2	-2.6673874652198424	4.2051999304951384e-8	1.1371104391764969e-5	significant
ENSG00000163781	TOPBP1	-2.6673874652198424	4.2051999304951384e-8	1.1371104391764969e-5	significant
ENSG00000172262	ZNF131	-2.6673874652198424	4.2051999304951384e-8	1.1371104391764969e-5	significant
ENSG00000113013	HSPA9	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000116030	SUMO1	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000116752	BCAS2	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000119729	RHOQ	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000126749	EMG1	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000131876	SNRPA1	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000147669	POLR2K	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000153107	ANAPC1	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000158158	CNNM4	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000165688	PMPCA	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000175792	RUVBL1	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000266338	NBPF15	-2.656124545550171	5.1883324512959586e-8	1.1951099614355555e-5	significant
ENSG00000174243	DDX23	-2.661189033238892	5.758920456168188e-8	1.2641169161316006e-5	significant
ENSG00000177105	RHOG	-2.661189033238892	5.758920456168188e-8	1.2641169161316006e-5	significant
ENSG00000214026	MRPL23	-2.648133376870955	5.754920723170477e-8	1.2641169161316006e-5	significant
ENSG00000215021	PHB2	-2.648133376870955	5.754920723170477e-8	1.2641169161316006e-5	significant
ENSG00000040275	SPDL1	-2.648133376870955	6.391049446135648e-8	1.3393938347738392e-5	significant
ENSG00000102786	INTS6	-2.621325574203077	7.08972880965365e-8	1.3393938347738392e-5	significant
ENSG00000104129	DNAJC17	-2.648133376870955	7.465803345293133e-8	1.3393938347738392e-5	significant
ENSG00000117697	NSL1	-2.648133376870955	7.465803345293133e-8	1.3393938347738392e-5	significant
ENSG00000124467	PSG8	-2.648133376870955	6.391049446135648e-8	1.3393938347738392e-5	significant
ENSG00000126698	DNAJC8	-2.648133376870955	6.391049446135648e-8	1.3393938347738392e-5	significant
ENSG00000130255	RPL36	-2.6288792885220675	7.08972880965365e-8	1.3393938347738392e-5	significant
ENSG00000132341	RAN	-2.648133376870955	7.465803345293133e-8	1.3393938347738392e-5	significant
ENSG00000149716	ORAOV1	-2.648133376870955	7.465803345293133e-8	1.3393938347738392e-5	significant
ENSG00000153201	RANBP2	-2.6368704572012835	6.391049446135648e-8	1.3393938347738392e-5	significant
ENSG00000160075	SSU72	-2.6288792885220675	7.08972880965365e-8	1.3393938347738392e-5	significant
